"RN","ThreAss","ThreCon","intervention","step","Asupp","Bsupp","ABsupp","Apos","Aneg","A","Bpos","Bneg","B","ABpos","ABneg","AB","sr-supporters","sr-opponents","satisfaction-rate","support-rate"
"2","0.5","0.5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1","0.5","0.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","0.5","0.5","1","1","21","14","5","19","1","1","10","4","0","5","0","0","0.7142857142857143","0.9047619047619048","0.85","0.35"
"1","0.5","0.5","0","1","21","14","5","19","1","1","10","4","0","5","0","0","0.7142857142857143","0.9047619047619048","0.85","0.35"
"2","0.5","0.5","1","2","20","17","3","17","2","1","13","4","0","3","0","0","0.7647058823529411","0.85","0.825","0.425"
"1","0.5","0.5","0","2","20","17","3","17","2","1","13","4","0","3","0","0","0.7647058823529411","0.85","0.825","0.425"
"2","0.5","0.5","1","3","20","17","3","17","2","1","13","4","0","3","0","0","0.7647058823529411","0.85","0.825","0.425"
"1","0.5","0.5","0","3","20","17","3","17","2","1","13","4","0","3","0","0","0.7647058823529411","0.85","0.825","0.425"
"2","0.5","0.5","1","4","19","18","3","16","2","1","13","5","0","3","0","0","0.7222222222222222","0.8421052631578947","0.8","0.45"
"1","0.5","0.5","0","4","19","18","3","16","2","1","13","5","0","3","0","0","0.7222222222222222","0.8421052631578947","0.8","0.45"
"2","0.5","0.5","1","5","19","18","3","16","2","1","13","5","0","3","0","0","0.7222222222222222","0.8421052631578947","0.8","0.45"
"1","0.5","0.5","0","5","19","18","3","16","2","1","13","5","0","3","0","0","0.7222222222222222","0.8421052631578947","0.8","0.45"
"2","0.5","0.5","1","6","19","18","3","16","2","1","13","5","0","3","0","0","0.7222222222222222","0.8421052631578947","0.8","0.45"
"1","0.5","0.5","0","6","19","18","3","16","2","1","13","5","0","3","0","0","0.7222222222222222","0.8421052631578947","0.8","0.45"
"2","0.5","0.5","1","7","19","18","3","16","2","1","13","5","0","3","0","0","0.7222222222222222","0.8421052631578947","0.8","0.45"
"1","0.5","0.5","0","7","19","18","3","16","2","1","13","5","0","3","0","0","0.7222222222222222","0.8421052631578947","0.8","0.45"
"2","0.5","0.5","1","8","19","18","3","16","2","1","13","5","0","3","0","0","0.7222222222222222","0.8421052631578947","0.8","0.45"
"1","0.5","0.5","0","8","19","18","3","16","2","1","13","5","0","3","0","0","0.7222222222222222","0.8421052631578947","0.8","0.45"
"2","0.5","0.5","1","9","19","18","3","16","2","1","13","5","0","3","0","0","0.7222222222222222","0.8421052631578947","0.8","0.45"
"1","0.5","0.5","0","9","19","18","3","16","2","1","13","5","0","3","0","0","0.7222222222222222","0.8421052631578947","0.8","0.45"
"2","0.5","0.5","1","10","19","18","3","16","2","1","13","5","0","3","0","0","0.7222222222222222","0.8421052631578947","0.8","0.45"
"1","0.5","0.5","0","10","19","18","3","16","2","1","13","5","0","3","0","0","0.7222222222222222","0.8421052631578947","0.8","0.45"
"2","0.5","0.5","1","11","19","18","3","16","2","1","13","5","0","3","0","0","0.7222222222222222","0.8421052631578947","0.8","0.45"
"1","0.5","0.5","0","11","19","18","3","16","2","1","13","5","0","3","0","0","0.7222222222222222","0.8421052631578947","0.8","0.45"
"2","0.5","0.5","1","12","19","18","3","16","2","1","13","5","0","3","0","0","0.7222222222222222","0.8421052631578947","0.8","0.45"
"1","0.5","0.5","0","12","19","18","3","16","2","1","13","5","0","3","0","0","0.7222222222222222","0.8421052631578947","0.8","0.45"
"2","0.5","0.5","1","13","19","18","3","16","2","1","13","5","0","3","0","0","0.7222222222222222","0.8421052631578947","0.8","0.45"
"1","0.5","0.5","0","13","19","18","3","16","2","1","13","5","0","3","0","0","0.7222222222222222","0.8421052631578947","0.8","0.45"
"2","0.5","0.5","1","14","19","18","3","16","2","1","13","5","0","3","0","0","0.7222222222222222","0.8421052631578947","0.8","0.45"
"2","0.5","0.5","1","15","19","18","3","16","2","1","13","5","0","3","0","0","0.7222222222222222","0.8421052631578947","0.8","0.45"
"1","0.5","0.5","0","14","19","18","3","16","2","1","13","5","0","3","0","0","0.7222222222222222","0.8421052631578947","0.8","0.45"
"2","0.5","0.5","1","16","19","18","3","16","2","1","13","5","0","3","0","0","0.7222222222222222","0.8421052631578947","0.8","0.45"
"1","0.5","0.5","0","15","19","18","3","16","2","1","13","5","0","3","0","0","0.7222222222222222","0.8421052631578947","0.8","0.45"
"2","0.5","0.5","1","17","19","18","3","16","2","1","13","5","0","3","0","0","0.7222222222222222","0.8421052631578947","0.8","0.45"
"1","0.5","0.5","0","16","19","18","3","16","2","1","13","5","0","3","0","0","0.7222222222222222","0.8421052631578947","0.8","0.45"
"2","0.5","0.5","1","18","19","18","3","16","2","1","13","5","0","3","0","0","0.7222222222222222","0.8421052631578947","0.8","0.45"
"1","0.5","0.5","0","17","19","18","3","16","2","1","13","5","0","3","0","0","0.7222222222222222","0.8421052631578947","0.8","0.45"
"1","0.5","0.5","0","18","19","18","3","16","2","1","13","5","0","3","0","0","0.7222222222222222","0.8421052631578947","0.8","0.45"
"1","0.5","0.5","0","19","19","18","3","16","2","1","13","5","0","3","0","0","0.7222222222222222","0.8421052631578947","0.8","0.45"
"2","0.5","0.5","1","19","19","18","3","16","2","1","13","5","0","3","0","0","0.7222222222222222","0.8421052631578947","0.8","0.45"
"1","0.5","0.5","0","20","19","18","3","16","2","1","13","5","0","3","0","0","0.7222222222222222","0.8421052631578947","0.8","0.45"
"2","0.5","0.5","1","20","19","18","3","16","2","1","13","5","0","3","0","0","0.7222222222222222","0.8421052631578947","0.8","0.45"
"2","0.5","0.5","1","21","19","18","3","16","2","1","13","5","0","3","0","0","0.7222222222222222","0.8421052631578947","0.8","0.45"
"1","0.5","0.5","0","21","19","18","3","16","2","1","13","5","0","3","0","0","0.7222222222222222","0.8421052631578947","0.8","0.45"
"2","0.5","0.5","1","22","19","18","3","16","2","1","13","5","0","3","0","0","0.7222222222222222","0.8421052631578947","0.8","0.45"
"1","0.5","0.5","0","22","19","18","3","16","2","1","13","5","0","3","0","0","0.7222222222222222","0.8421052631578947","0.8","0.45"
"2","0.5","0.5","1","23","19","18","3","16","2","1","13","5","0","3","0","0","0.7222222222222222","0.8421052631578947","0.8","0.45"
"1","0.5","0.5","0","23","19","18","3","16","2","1","13","5","0","3","0","0","0.7222222222222222","0.8421052631578947","0.8","0.45"
"1","0.5","0.5","0","24","19","18","3","16","2","1","13","5","0","3","0","0","0.7222222222222222","0.8421052631578947","0.8","0.45"
"1","0.5","0.5","0","25","19","18","3","16","2","1","13","5","0","3","0","0","0.7222222222222222","0.8421052631578947","0.8","0.45"
"2","0.5","0.5","1","24","19","18","3","16","2","1","13","5","0","3","0","0","0.7222222222222222","0.8421052631578947","0.8","0.45"
"1","0.5","0.5","0","26","19","18","3","16","2","1","13","5","0","3","0","0","0.7222222222222222","0.8421052631578947","0.8","0.45"
"2","0.5","0.5","1","25","19","18","3","16","2","1","13","5","0","3","0","0","0.7222222222222222","0.8421052631578947","0.8","0.45"
"2","0.5","0.5","1","26","19","18","3","16","2","1","13","5","0","3","0","0","0.7222222222222222","0.8421052631578947","0.8","0.45"
"1","0.5","0.5","0","27","19","18","3","16","2","1","13","5","0","3","0","0","0.7222222222222222","0.8421052631578947","0.8","0.45"
"2","0.5","0.5","1","27","19","18","3","16","2","1","13","5","0","3","0","0","0.7222222222222222","0.8421052631578947","0.8","0.45"
"1","0.5","0.5","0","28","19","18","3","16","2","1","13","5","0","3","0","0","0.7222222222222222","0.8421052631578947","0.8","0.45"
"2","0.5","0.5","1","28","19","18","3","16","2","1","13","5","0","3","0","0","0.7222222222222222","0.8421052631578947","0.8","0.45"
"1","0.5","0.5","0","29","19","18","3","16","2","1","13","5","0","3","0","0","0.7222222222222222","0.8421052631578947","0.8","0.45"
"2","0.5","0.5","1","29","19","18","3","16","2","1","13","5","0","3","0","0","0.7222222222222222","0.8421052631578947","0.8","0.45"
"1","0.5","0.5","0","30","19","18","3","16","2","1","13","5","0","3","0","0","0.7222222222222222","0.8421052631578947","0.8","0.45"
"2","0.5","0.5","1","30","19","18","3","16","2","1","13","5","0","3","0","0","0.7222222222222222","0.8421052631578947","0.8","0.45"
"1","0.5","0.5","0","31","20","17","3","17","2","1","12","5","0","3","0","0","0.7058823529411765","0.85","0.8","0.425"
"2","0.5","0.5","1","31","20","17","3","17","2","1","12","5","0","3","0","0","0.7058823529411765","0.85","0.8","0.425"
"1","0.5","0.5","0","32","20","17","3","17","2","1","12","5","0","3","0","0","0.7058823529411765","0.85","0.8","0.425"
"2","0.5","0.5","1","32","20","17","3","17","2","1","12","5","0","3","0","0","0.7058823529411765","0.85","0.8","0.425"
"1","0.5","0.5","0","33","20","17","3","17","2","1","12","5","0","3","0","0","0.7058823529411765","0.85","0.8","0.425"
"2","0.5","0.5","1","33","20","17","3","17","2","1","12","5","0","3","0","0","0.7058823529411765","0.85","0.8","0.425"
"1","0.5","0.5","0","34","20","17","3","17","2","1","12","5","0","3","0","0","0.7058823529411765","0.85","0.8","0.425"
"2","0.5","0.5","1","34","20","17","3","17","2","1","12","5","0","3","0","0","0.7058823529411765","0.85","0.8","0.425"
"2","0.5","0.5","1","35","20","17","3","17","2","1","12","5","0","3","0","0","0.7058823529411765","0.85","0.8","0.425"
"2","0.5","0.5","1","36","20","17","3","17","2","1","12","5","0","3","0","0","0.7058823529411765","0.85","0.8","0.425"
"1","0.5","0.5","0","35","20","17","3","17","2","1","12","5","0","3","0","0","0.7058823529411765","0.85","0.8","0.425"
"2","0.5","0.5","1","37","20","17","3","17","2","1","12","5","0","3","0","0","0.7058823529411765","0.85","0.8","0.425"
"1","0.5","0.5","0","36","20","17","3","17","2","1","12","5","0","3","0","0","0.7058823529411765","0.85","0.8","0.425"
"2","0.5","0.5","1","38","20","17","3","17","2","1","12","5","0","3","0","0","0.7058823529411765","0.85","0.8","0.425"
"1","0.5","0.5","0","37","20","17","3","17","2","1","12","5","0","3","0","0","0.7058823529411765","0.85","0.8","0.425"
"2","0.5","0.5","1","39","20","17","3","17","2","1","12","5","0","3","0","0","0.7058823529411765","0.85","0.8","0.425"
"1","0.5","0.5","0","38","20","17","3","17","2","1","12","5","0","3","0","0","0.7058823529411765","0.85","0.8","0.425"
"2","0.5","0.5","1","40","20","17","3","17","2","1","12","5","0","3","0","0","0.7058823529411765","0.85","0.8","0.425"
"1","0.5","0.5","0","39","20","17","3","17","2","1","12","5","0","3","0","0","0.7058823529411765","0.85","0.8","0.425"
"2","0.5","0.5","1","41","21","16","3","18","2","1","11","5","0","3","0","0","0.6875","0.8571428571428571","0.8","0.4"
"2","0.5","0.5","1","42","21","16","3","18","2","1","11","5","0","3","0","0","0.6875","0.8571428571428571","0.8","0.4"
"2","0.5","0.5","1","43","21","16","3","18","2","1","11","5","0","3","0","0","0.6875","0.8571428571428571","0.8","0.4"
"1","0.5","0.5","0","40","20","17","3","17","2","1","12","5","0","3","0","0","0.7058823529411765","0.85","0.8","0.425"
"2","0.5","0.5","1","44","21","16","3","18","2","1","11","5","0","3","0","0","0.6875","0.8571428571428571","0.8","0.4"
"1","0.5","0.5","0","41","21","16","3","18","2","1","11","5","0","3","0","0","0.6875","0.8571428571428571","0.8","0.4"
"2","0.5","0.5","1","45","21","16","3","18","2","1","11","5","0","3","0","0","0.6875","0.8571428571428571","0.8","0.4"
"1","0.5","0.5","0","42","21","16","3","18","2","1","11","5","0","3","0","0","0.6875","0.8571428571428571","0.8","0.4"
"2","0.5","0.5","1","46","21","16","3","18","2","1","11","5","0","3","0","0","0.6875","0.8571428571428571","0.8","0.4"
"1","0.5","0.5","0","43","21","16","3","18","2","1","11","5","0","3","0","0","0.6875","0.8571428571428571","0.8","0.4"
"2","0.5","0.5","1","47","21","16","3","18","2","1","11","5","0","3","0","0","0.6875","0.8571428571428571","0.8","0.4"
"1","0.5","0.5","0","44","21","16","3","18","2","1","11","5","0","3","0","0","0.6875","0.8571428571428571","0.8","0.4"
"2","0.5","0.5","1","48","21","16","3","18","2","1","11","5","0","3","0","0","0.6875","0.8571428571428571","0.8","0.4"
"2","0.5","0.5","1","49","21","16","3","18","2","1","11","5","0","3","0","0","0.6875","0.8571428571428571","0.8","0.4"
"2","0.5","0.5","1","50","21","16","3","18","2","1","11","5","0","3","0","0","0.6875","0.8571428571428571","0.8","0.4"
