"RN","ThreAss","ThreCon","intervention","step","Asupp","Bsupp","ABsupp","Apos","Aneg","A","Bpos","Bneg","B","ABpos","ABneg","AB","sr-supporters","sr-opponents","satisfaction-rate","support-rate"
"2","0.2","0.2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","0.2","0.6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6","0.2","0.6","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7","0.2","0.8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","0.2","0.4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8","0.2","0.8","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4","0.2","0.4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1","0.2","0.2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8","0.2","0.8","1","1","16","20","4","11","5","0","15","4","1","4","0","0","0.75","0.6875","0.75","0.5"
"6","0.2","0.6","1","1","16","20","4","11","5","0","15","4","1","4","0","0","0.75","0.6875","0.75","0.5"
"7","0.2","0.8","0","1","16","20","4","11","5","0","15","4","1","4","0","0","0.75","0.6875","0.75","0.5"
"4","0.2","0.4","1","1","16","20","4","11","5","0","15","4","1","4","0","0","0.75","0.6875","0.75","0.5"
"3","0.2","0.4","0","1","16","20","4","11","5","0","15","4","1","4","0","0","0.75","0.6875","0.75","0.5"
"5","0.2","0.6","0","1","16","20","4","11","5","0","15","4","1","4","0","0","0.75","0.6875","0.75","0.5"
"2","0.2","0.2","1","1","16","20","4","11","5","0","15","4","1","4","0","0","0.75","0.6875","0.75","0.5"
"6","0.2","0.6","1","2","17","21","2","13","3","1","15","5","1","2","0","0","0.7142857142857143","0.7647058823529411","0.75","0.525"
"8","0.2","0.8","1","2","17","21","2","13","3","1","15","5","1","2","0","0","0.7142857142857143","0.7647058823529411","0.75","0.525"
"4","0.2","0.4","1","2","17","21","2","13","3","1","15","5","1","2","0","0","0.7142857142857143","0.7647058823529411","0.75","0.525"
"7","0.2","0.8","0","2","17","21","2","13","3","1","15","5","1","2","0","0","0.7142857142857143","0.7647058823529411","0.75","0.525"
"3","0.2","0.4","0","2","17","21","2","13","3","1","15","5","1","2","0","0","0.7142857142857143","0.7647058823529411","0.75","0.525"
"8","0.2","0.8","1","3","17","21","2","14","3","0","15","5","1","2","0","0","0.7142857142857143","0.8235294117647058","0.775","0.525"
"7","0.2","0.8","0","3","17","21","2","14","3","0","15","5","1","2","0","0","0.7142857142857143","0.8235294117647058","0.775","0.525"
"2","0.2","0.2","1","2","17","21","2","13","3","1","15","5","1","2","0","0","0.7142857142857143","0.7647058823529411","0.75","0.525"
"5","0.2","0.6","0","2","17","21","2","13","3","1","15","5","1","2","0","0","0.7142857142857143","0.7647058823529411","0.75","0.525"
"4","0.2","0.4","1","3","17","21","2","14","3","0","15","5","1","2","0","0","0.7142857142857143","0.8235294117647058","0.775","0.525"
"6","0.2","0.6","1","3","17","21","2","14","3","0","15","5","1","2","0","0","0.7142857142857143","0.8235294117647058","0.775","0.525"
"3","0.2","0.4","0","3","17","21","2","14","3","0","15","5","1","2","0","0","0.7142857142857143","0.8235294117647058","0.775","0.525"
"2","0.2","0.2","1","3","17","21","2","14","3","0","15","5","1","2","0","0","0.7142857142857143","0.8235294117647058","0.775","0.525"
"7","0.2","0.8","0","4","17","21","2","14","3","0","15","5","1","2","0","0","0.7142857142857143","0.8235294117647058","0.775","0.525"
"8","0.2","0.8","1","4","17","21","2","14","3","0","15","5","1","2","0","0","0.7142857142857143","0.8235294117647058","0.775","0.525"
"5","0.2","0.6","0","3","17","21","2","14","3","0","15","5","1","2","0","0","0.7142857142857143","0.8235294117647058","0.775","0.525"
"3","0.2","0.4","0","4","17","21","2","14","3","0","15","5","1","2","0","0","0.7142857142857143","0.8235294117647058","0.775","0.525"
"2","0.2","0.2","1","4","17","21","2","14","3","0","15","5","1","2","0","0","0.7142857142857143","0.8235294117647058","0.775","0.525"
"1","0.2","0.2","0","1","16","20","4","11","5","0","15","4","1","4","0","0","0.75","0.6875","0.75","0.5"
"7","0.2","0.8","0","5","17","21","2","14","3","0","15","5","1","2","0","0","0.7142857142857143","0.8235294117647058","0.775","0.525"
"6","0.2","0.6","1","4","17","21","2","14","3","0","15","5","1","2","0","0","0.7142857142857143","0.8235294117647058","0.775","0.525"
"4","0.2","0.4","1","4","17","21","2","14","3","0","15","5","1","2","0","0","0.7142857142857143","0.8235294117647058","0.775","0.525"
"5","0.2","0.6","0","4","17","21","2","14","3","0","15","5","1","2","0","0","0.7142857142857143","0.8235294117647058","0.775","0.525"
"3","0.2","0.4","0","5","17","21","2","14","3","0","15","5","1","2","0","0","0.7142857142857143","0.8235294117647058","0.775","0.525"
"2","0.2","0.2","1","5","17","21","2","14","3","0","15","5","1","2","0","0","0.7142857142857143","0.8235294117647058","0.775","0.525"
"7","0.2","0.8","0","6","17","21","2","14","3","0","15","5","1","2","0","0","0.7142857142857143","0.8235294117647058","0.775","0.525"
"2","0.2","0.2","1","6","17","21","2","14","3","0","15","5","1","2","0","0","0.7142857142857143","0.8235294117647058","0.775","0.525"
"5","0.2","0.6","0","5","17","21","2","14","3","0","15","5","1","2","0","0","0.7142857142857143","0.8235294117647058","0.775","0.525"
"6","0.2","0.6","1","5","17","21","2","14","3","0","15","5","1","2","0","0","0.7142857142857143","0.8235294117647058","0.775","0.525"
"8","0.2","0.8","1","5","17","21","2","14","3","0","15","5","1","2","0","0","0.7142857142857143","0.8235294117647058","0.775","0.525"
"3","0.2","0.4","0","6","17","21","2","14","3","0","15","5","1","2","0","0","0.7142857142857143","0.8235294117647058","0.775","0.525"
"4","0.2","0.4","1","5","17","21","2","14","3","0","15","5","1","2","0","0","0.7142857142857143","0.8235294117647058","0.775","0.525"
"2","0.2","0.2","1","7","17","21","2","14","3","0","15","5","1","2","0","0","0.7142857142857143","0.8235294117647058","0.775","0.525"
"3","0.2","0.4","0","7","17","21","2","14","3","0","15","5","1","2","0","0","0.7142857142857143","0.8235294117647058","0.775","0.525"
"6","0.2","0.6","1","6","17","21","2","14","3","0","15","5","1","2","0","0","0.7142857142857143","0.8235294117647058","0.775","0.525"
"5","0.2","0.6","0","6","17","21","2","14","3","0","15","5","1","2","0","0","0.7142857142857143","0.8235294117647058","0.775","0.525"
"8","0.2","0.8","1","6","17","21","2","14","3","0","15","5","1","2","0","0","0.7142857142857143","0.8235294117647058","0.775","0.525"
"4","0.2","0.4","1","6","17","21","2","14","3","0","15","5","1","2","0","0","0.7142857142857143","0.8235294117647058","0.775","0.525"
"7","0.2","0.8","0","7","17","21","2","14","3","0","15","5","1","2","0","0","0.7142857142857143","0.8235294117647058","0.775","0.525"
"4","0.2","0.4","1","7","17","21","2","14","3","0","15","5","1","2","0","0","0.7142857142857143","0.8235294117647058","0.775","0.525"
"6","0.2","0.6","1","7","17","21","2","14","3","0","15","5","1","2","0","0","0.7142857142857143","0.8235294117647058","0.775","0.525"
"2","0.2","0.2","1","8","17","21","2","14","3","0","15","5","1","2","0","0","0.7142857142857143","0.8235294117647058","0.775","0.525"
"8","0.2","0.8","1","7","17","21","2","14","3","0","15","5","1","2","0","0","0.7142857142857143","0.8235294117647058","0.775","0.525"
"1","0.2","0.2","0","2","17","21","2","13","3","1","15","5","1","2","0","0","0.7142857142857143","0.7647058823529411","0.75","0.525"
"5","0.2","0.6","0","7","17","21","2","14","3","0","15","5","1","2","0","0","0.7142857142857143","0.8235294117647058","0.775","0.525"
"3","0.2","0.4","0","8","17","21","2","14","3","0","15","5","1","2","0","0","0.7142857142857143","0.8235294117647058","0.775","0.525"
"7","0.2","0.8","0","8","17","21","2","14","3","0","15","5","1","2","0","0","0.7142857142857143","0.8235294117647058","0.775","0.525"
"2","0.2","0.2","1","9","17","21","2","13","3","1","15","5","1","2","0","0","0.7142857142857143","0.7647058823529411","0.75","0.525"
"6","0.2","0.6","1","8","17","21","2","14","3","0","15","5","1","2","0","0","0.7142857142857143","0.8235294117647058","0.775","0.525"
"8","0.2","0.8","1","8","17","21","2","14","3","0","15","5","1","2","0","0","0.7142857142857143","0.8235294117647058","0.775","0.525"
"4","0.2","0.4","1","8","17","21","2","14","3","0","15","5","1","2","0","0","0.7142857142857143","0.8235294117647058","0.775","0.525"
"3","0.2","0.4","0","9","17","21","2","13","3","1","15","5","1","2","0","0","0.7142857142857143","0.7647058823529411","0.75","0.525"
"7","0.2","0.8","0","9","17","21","2","13","3","1","15","5","1","2","0","0","0.7142857142857143","0.7647058823529411","0.75","0.525"
"8","0.2","0.8","1","9","17","21","2","13","3","1","15","5","1","2","0","0","0.7142857142857143","0.7647058823529411","0.75","0.525"
"6","0.2","0.6","1","9","17","21","2","13","3","1","15","5","1","2","0","0","0.7142857142857143","0.7647058823529411","0.75","0.525"
"2","0.2","0.2","1","10","17","21","2","13","3","1","15","5","1","2","0","0","0.7142857142857143","0.7647058823529411","0.75","0.525"
"5","0.2","0.6","0","8","17","21","2","14","3","0","15","5","1","2","0","0","0.7142857142857143","0.8235294117647058","0.775","0.525"
"3","0.2","0.4","0","10","17","21","2","13","3","1","15","5","1","2","0","0","0.7142857142857143","0.7647058823529411","0.75","0.525"
"7","0.2","0.8","0","10","17","21","2","13","3","1","15","5","1","2","0","0","0.7142857142857143","0.7647058823529411","0.75","0.525"
"4","0.2","0.4","1","9","17","21","2","13","3","1","15","5","1","2","0","0","0.7142857142857143","0.7647058823529411","0.75","0.525"
"6","0.2","0.6","1","10","17","21","2","13","3","1","15","5","1","2","0","0","0.7142857142857143","0.7647058823529411","0.75","0.525"
"2","0.2","0.2","1","11","19","19","2","14","4","1","14","4","1","2","0","0","0.7368421052631579","0.7368421052631579","0.75","0.475"
"5","0.2","0.6","0","9","17","21","2","13","3","1","15","5","1","2","0","0","0.7142857142857143","0.7647058823529411","0.75","0.525"
"1","0.2","0.2","0","3","17","21","2","14","3","0","15","5","1","2","0","0","0.7142857142857143","0.8235294117647058","0.775","0.525"
"8","0.2","0.8","1","10","17","21","2","13","3","1","15","5","1","2","0","0","0.7142857142857143","0.7647058823529411","0.75","0.525"
"7","0.2","0.8","0","11","17","21","2","13","3","1","15","5","1","2","0","0","0.7142857142857143","0.7647058823529411","0.75","0.525"
"6","0.2","0.6","1","11","17","21","2","13","3","1","15","5","1","2","0","0","0.7142857142857143","0.7647058823529411","0.75","0.525"
"5","0.2","0.6","0","10","17","21","2","13","3","1","15","5","1","2","0","0","0.7142857142857143","0.7647058823529411","0.75","0.525"
"4","0.2","0.4","1","10","17","21","2","13","3","1","15","5","1","2","0","0","0.7142857142857143","0.7647058823529411","0.75","0.525"
"3","0.2","0.4","0","11","17","21","2","13","3","1","15","5","1","2","0","0","0.7142857142857143","0.7647058823529411","0.75","0.525"
"2","0.2","0.2","1","12","19","19","2","14","4","1","14","4","1","2","0","0","0.7368421052631579","0.7368421052631579","0.75","0.475"
"7","0.2","0.8","0","12","17","21","2","13","3","1","15","5","1","2","0","0","0.7142857142857143","0.7647058823529411","0.75","0.525"
"6","0.2","0.6","1","12","17","21","2","13","3","1","15","5","1","2","0","0","0.7142857142857143","0.7647058823529411","0.75","0.525"
"8","0.2","0.8","1","11","17","21","2","13","3","1","15","5","1","2","0","0","0.7142857142857143","0.7647058823529411","0.75","0.525"
"4","0.2","0.4","1","11","17","21","2","13","3","1","15","5","1","2","0","0","0.7142857142857143","0.7647058823529411","0.75","0.525"
"3","0.2","0.4","0","12","17","21","2","13","3","1","15","5","1","2","0","0","0.7142857142857143","0.7647058823529411","0.75","0.525"
"5","0.2","0.6","0","11","17","21","2","13","3","1","15","5","1","2","0","0","0.7142857142857143","0.7647058823529411","0.75","0.525"
"1","0.2","0.2","0","4","17","21","2","14","3","0","15","5","1","2","0","0","0.7142857142857143","0.8235294117647058","0.775","0.525"
